Gold Category	Preticted	Utterance
+	-	Since Siskel's death and Ebert's absence the show has been left in the incapable hands of Richard Roeper. Roeper is not a film critic he just criticizes anything he doesn't like personally i.e. films with country music get panned because ""I don't like country music!"" and children's movies get a standard ""Don't see it now, wait until it comes out on DVD and rent it for your kids!"" Roeper may well be an idiot savant, but in some other field. The weekly guests 'sitting-in' for Ebert fare better, but who wants to pick a daisy in the midst of a cow pat? All that said, it IS the only show in town and that alone makes it worth watching. As for Roger Ebert, if Stephen Hawking can talk, so can you! It's your mind and thoughts we long for. Do whatever is necessary to get that usurper off his self-declared throne. 
+	-	Superb! Even the Author was laughing at the end. And what a ""balcony"" scene! This film has it all. Wickedly funny and yet strangely faithful to the Bard of Avon. (But NOT for the Faint of Heart!) AND... the Best Credits since Monty Python and The Holy Grail! I am ""Troma""Tized! 
+	-	This movie was really interesting... it also is quite shocking as the similar events of the movie occurred only 10 months after the movie premiered.<br /><br />it was interesting seeing the problems that could be encountered and realistic enough to show that no matter how prepared you think you are - you aren't. if this was made for an American audience - it would be different because they would have used this as a full propaganda film and not as a wake call which the BBC did! it still is propaganda, in some extend - no film today with these themes can not be - but it dealt with the issue successfully.<br /><br />a film that should be shown in all terrorism/counter-terrorism courses but will not because it shows faults which is not allowed to be acknowledged! A great film in which the BBC took a few risks and unfortunately, London does not need a fictional tale any more, due to the reality of July 7 2005. 
+	-	Minor spoilers follow, but nothing you won't have learned from reading the back of the DVD.<br /><br />Held together by a wonderful central performance from Renée Zellweger, Nurse Betty is a dark yet deceptively good-natured comedy.<br /><br />Suffering from an emotional and mental breakdown after witnessing her sleazy husband's murder, already-troubled and desperately unhappy waitress Betty becomes convinced a character on her favourite daytime soap is her long-lost fiancé and sets off from Kansas to Hollywood to find him.<br /><br />Instead of making jokes at the expense of Betty's mental state, writer John C. Richards is very sympathetic, with Zellweger portraying her as a lost innocent, not entirely helpless but tragically vulnerable nonetheless. Crucially she's never really a victim despite this and while she undoubtedly suffers horribly the motives of the characters who treat her poorly are all understandable - even Greg Kinnear as the object of her deluded affections may be an egotistical, blinkered, arrogant pig but he genuinely believes that she's merely a quirky wannabe actress with bags of talent rather than an insane stalker.<br /><br />The farcical ending where all the main protagonists descend on the same place (in this instance Betty's house) at the same time to have it out is as old as cinema itself but it works quite well here, even if the shift in tone is unfortunate.<br /><br />Zellweger is ably supported by Kinnear and Morgan Freeman both doing solid work, and it's especially pleasing to see Chris Rock show restraint in his earlier scenes.<br /><br />Not nearly as cruel as you might expect, and not at all mean-spirited, Nurse Betty - while far from being a laugh riot - is a solid entertainment elevated to something considerably more by the lead actress. 
+	-	This short was nominated for an Academy Award and I wish it had won! Basically a filmed jam session between some very talented musicians, including Lester Young and Joe Jones, the music is incredible! Hollywood quite often embraced Jazz (particularly animation, believe it or not) but this is a rare look on film at an improvisational jam. This has been added to the Film Preservation list and deservedly so. TCM runs this as filler periodically and runs it every March sometime for its' ""31 Days of Oscar"" tribute. From downtown at the buzzer, swish, nothing but net and the shot's so smooth, the net barely moved. Most solidly and highly recommended!!! 
+	-	Corean cinema can be quite surprising for an occidental audience, because of the multiplicity of the tones and genres you can find in the same movie. In a Coreen drama such as this ""Secret Sunshine"", you'll also find some comical parts, thriller scenes and romantic times. ""There's not only tragedy in life, there's also tragic-comedy"" says at one point of the movie the character interpreted by Song Kang-ho, summing up the mixture of the picture. But don't get me wrong, this heterogeneity of the genres the movie deals with, adds veracity to the experience this rich movie offers to its spectators. That doesn't mean that it lacks unity : on the contrary, it's rare to see such a dense and profound portrait of a woman in pain.<br /><br />Shin-ae, who's in quest for a quiet life with her son in the native town of her late husband, really gives, by all the different faces of suffering she's going through, unity to this movie. It's realistic part is erased by the psychological descriptions of all the phases the poor mother is going through. Denial, lost, anger, faith, pert of reality : the movie fallows all the steps the character crosses, and looks like a psychological catalog of all the suffering phases a woman can experience.<br /><br />The only thing is to accept what may look like a conceptual experience (the woman wears the mask of tragedy, the man represents the comical interludes) and to let the artifices of the movie touch you. I must say that some parts of the movie really did move me (especialy in the beginning), particularly those concerning the unability of Chang Joan to truly help the one he loves, but also that the accumulation of suffering emotionally tired me towards the end. Nevertheless, some cinematographic ideas are really breathtaking and surprising (the scene where a body is discovered in a large shot is for instance amazing). This kind of scenes makes ""Secret Sunshine"" the melo equivalent of ""The Host"" for horror movies or ""Memories of murder"" for thrillers. These movies are indeed surprising, most original, aesthetically incredible, and manage to give another dimension to the genres they deal with. The only thing that ""Secret Sunshine"" forgets, as ""The host"" forgot to be scary, is to make its audience cry : bad point for a melodrama, but good point for a good film. 
+	-	Rupert Friend gives a performance, as Prince Albert, that lifts ""The Young Victoria"" to unexpected levels. He is superb. As we know, Queen Victoria fell into a dark, deep depression after Prince Albert's death and looking into Ruper Friend's eyes I understood. The film doesn't take us to his death but to an incident that may very well could have cost his life. An act of love. I believed it, or I should say, him. I believed what he felt was real. Nothing or anybody gets anywhere near the delicacy and profundity of Friend's characterization. Emily Blunt is good but I didn't believe for a minute she was Victoria. No real sense of period. It may no have been her fault but her prince deserved the crown. 
+	-	This was a wonderful little film that truly was creative and fun--something you see all too seldom in movies. The film begins in Russia just after the fall of the Communist government. As a result, society seems to be in chaos and life has yet to improve now that the old regime is gone. Dirty cities, crime and lack of housing still plague the poor residents of St. Petersburg.<br /><br />Into this scene of bleakness and uncertainty comes an idealistic music teacher. He is among those without a home and he FINALLY gets a letter from the government that tells him he has a tiny room in a nearby flat. When he arrives, the place is a mess but the people seem friendly enough so they all have a lovely party. In the middle of the night, they are awakened by an old lady walking out of the giant wardrobe in the room (I was half expecting Lucy and the other kids from THE LION, THE WITCH AND THE WARDROBE to come out, but they didn't). They are too shocked to do anything at first but decide soon to investigate. Instead of just being a clothes closet, the wardrobe opens into Paris! How the residents of the flat respond to this magical gateway is really intriguing. Some, like the music teacher, are thrilled and in awe. Most of the others are more pragmatic and are mostly concerned with looting everything from Paris before the gateway closes once and for all! These Russian thieves are awful people--greedy, coarse and crude but down deep---VERY DEEP--are hearts of gold. I like how this is a metaphor for the nation now on the brink of Capitalism. At first, they run amok grabbing everything they can and only later do they reveal some depth--but mostly they act much like guests on THE JERRY SPRINGER SHOW! The film has many twists and turns and is both funny and mesmerizing. About the only negative is that due to some harsh language and a nude scene (albeit, a very funny one), this is not a film for kids. This is a real shame, as with some very minor editing, this could have been a great family film. 
+	-	I spent 5 hours drenched in this film. Nothing I have ever seen comes close to the delicious funk this film left me in. Never mind females advanced aging dilemma's, human fear vaults off the screen for your viewing. Personally engaging to the ninth degree, the film invests one with an undeniable shared feeling for our lives'. I enjoyed this dalliance with raw wounded gall deep from within. It empowers a mutually shared vestment in the history of human encounters reaching far deeper into the pain, isolation and skewed views of self and others. The result forgives our tepid forming of a bridge away from the muddy sludge of dead we must encounter. The birth in finding real people is a happy pursuit. The effort for realism intersects with the dark ground of our bankrupt culture. 
+	-	Berlin-born in 1942 Margarethe von Trotta was an actress and now she is a very important director and writer. She has been described, perhaps even unfairly caricatured, as a director whose commitment to bringing a woman's sensibility to the screen outweighs her artistic strengths. ""Rosenstrasse,"" which has garnered mixed and even strange reviews (the New York Times article was one of the most negatively aggressive reviews I've ever read in that paper) is not a perfect film. It is a fine movie and a testament to a rare coalescing of successful opposition to the genocidal Nazi regime by, of all peoples, generically powerless Germans demonstrating in a Berlin street.<br /><br />Co-writer von Trotta uses the actual Rosenstrasse incident in the context of a young woman's search for information about her mother's never disclosed life as a child in the German capital during World War II.<br /><br />The husband of Ruth Weinstein (Jutta Lampe) has died and in a surprising reversion to an orthodox Jewish lifestyle apparently hitherto in long abeyance, Ruth not only ""sits shivah"" (the Jews' week-long mourning ritual) but she insists on following the strict proscriptions of her faith. Her apartment in New York City reflects the affluence secured by her deceased spouse's labors. Her American-born daughter, Hannah (Maria Schrader) and her brother are a bit put-off by mom's assumption of restrictive orthodox Jewish practices but they pitch in. The mother coldly rejects the presence of Hannah's fiance, a non-Jew named Luis (Fedja van Huet). A domestic crisis might well erupt as Ruth warns that she'll disown Hannah if she doesn't give up doting, handsome Luis. Stay tuned.<br /><br />A cousin arrives to pay her respects and also drops clues to an interested Hannah about a wartime mystery about mom's childhood in Berlin. Hannah is intrigued - she queries her mom who resolutely refuses to discuss that part of her life. This is very, very realistic. I grew up with parents who fled Nazi Germany just in time and I knew many children whose families, in whole but usually in part, escaped the Holocaust. Those days were simply not discussed.<br /><br />So Hannah, having learned that a German gentile woman saved Ruth's life, traipses off to Berlin hoping to find the savior still breathing. Were she not, this would have been a very short film. But Ruth, pretending to be a historian, locates 90 year-old Lena Fischer (Doris Schade), now a widow. As the happy-to-be-interviewed but shaken up by repressed memories Lena tells her story, the scenes shift fairly seamlessly between present day Berlin and the war-time capital.<br /><br />The young Lena of 1943 (Katja Riemann) was a fine pianist married to a Jewish violinist, Fabian Fischer (Martin Feifel). With the advent of the Nazi regime he was required to use ""Israel"" as a middle name just as Jewish women had to add ""Sarah"" to their names(incidentally I wish IMDb had not given Fabian's name on its characters list with the false ""Israel"" included-it simply perpetuates a name applied by Nazis as a mark of classification and degradation).<br /><br />While Germany deported most of its Jewish population to concentration camps, those married to ""Aryans"" were exempted. For a time. Until 1943 when the regime decided to take them too (most were men; a minority were Jewish women married to non-Jews). The roundup is shown here in all its frightening intensity.<br /><br />The young Lena tries to locate her husband. All she and many other women know is that they're confined in a building on Rosenstrasse. The crowd of anxious women builds up, some piteously seeking help from German officers who predictably refuse aid and also verbally abuse them (""Jew-loving whore"" being one appellation). As a subplot Lena more or less adopts eight-year-old Ruth who hid when her mother was seized (remember, Ruth is now sitting shiva in Manhattan). The child Ruth is fetchingly portrayed by Svea Lohde. <br /><br />Through increasingly angry protestations the women finally prevail. The men, and a handful of women, are released. As in the real story the Nazis gave in, one of the rare, almost unprecedented times when the madmen acknowledged defeat in their homicidal agenda (another was the termination of the euthanasia campaign to rid the Reich of mental defectives and chronic invalids but that's another story).<br /><br />Von Trotta builds up the tension and each woman's story is both personal and universal. Hannah continues to prod the aging Lena who slowly, one gathers, begins to suspect she's not dealing with an ordinary historian but rather someone with a need to learn about the girl she rescued, the child whose mother was murdered.<br /><br />The contrasts between Rosenstrasse of 1943, a set, and the street today in a bustling, rebuilt, unified Berlin provide a recurring thematic element. Today's Berlin bears the heritage but not the scars of a monstrous past. Von Trotta makes that point very well.<br /><br />The main actors are uniformly impressive. Lena's husband while strong is also shown as totally helpless in the snare of confinement with a likely outlook of deportation (which is shown to have been clearly understood by all characters - including the local police and military - as a one-way trip to oblivion). The older Ruth is catalytically forced to confront demons long suppressed in her happy New York life. Hannah is very believable as a young woman whose father's death triggers a need to discover her family's past. These things happen (although the Times's critic appears not to know that).<br /><br />Von Trotta's hand is sure but not perfect. A scene with Goebbels at a soiree enjoying Lena's violin playing is unnecessary and distractive. The suggestion that she may have gone to bed with the propaganda minister, the most fanatical top-level Hitler worshiper, to save her husband detracts from the wondrous accomplishment of the demonstrating spouses and relatives. Most of the German officers come from central casting and are molded by the Erich von Stroheim ""copy and paste"" school of Teutonic nastiness. But that's understandable.<br /><br />The Rosenstrasse story has been the subject of books and articles and some claim it's a paradigm case for arguing that many more Jews could have been saved had more Germans protested. Unfortunately that argument is nonsense. The German women who occupied Rosenstrasse were deeply and understandably self-interested. Most Germans were located on a line somewhere between passive and virulent anti-Semitism. THAT'S why the Rosenstrasse protest was virtually singular. Whether one buys or rejects the Goldenhagen thesis that most Germans were willing accomplices of the actual murderers it just can not be denied that pre-Nazi endemic anti-Semitism erupted into a virulent strain from 1933 on.<br /><br />The elderly Lena remarks that what was accomplished by the women was ""a ray of light"" in an evil time. Most of the men and women sprung from a near death trip survived the war. So ""a ray of light"" it was and von Trotta's movie is a beacon of illumination showing that some were saved by the courage of largely ordinary women and for every life saved an occasion for celebration exists. And always will.<br /><br />9/10 
+	-	This movie blew me away. If you can see only one of the animated bug movies this year see this one instead of Antz. the plot, characters, and jokes are better in A Bugs life. Also when you go stay in your seat until the end of the credits. it's the best part of the movie. Rating 9 
+	-	""Five Fingers of Death"" started the American kung-fu movie craze but I remember seeing it for the first time as ""King Boxer"" in Chinatown, NYC, without the bad dubbing and few Americans. I also was fortunate enough to see the American premiere of ""Five Fingers Of Death"" on Times Square, NYC. What a contrast this turned out to be...same film but different audiences.<br /><br />In Chinatown, this film took on a more serious tone to the viewers. It was because of hearing the real voices of the actors(In Chinese) that made this movie more believable. Chinatown theaters were showing violent kung fu films for years(1972's ""Boxer From Shantung"" beat them all in gore), so the action choreography & story were the main attraction. Rival school plots were not overused yet so the storyline seemed fresh. Every great kung fu film had wonderful, dastardly villains you wanted to see get their comeuppance and FFoD had them too. The star, Lieh Lo, was a known actor in Chinese theaters. The mostly Chinese audience enjoyed this film immensely. The audience buzz while leaving this film gives the final satisfaction to me.<br /><br />On Times Square, this film was an action comedy...probably unintentionally. I enjoyed it here too but for different reasons. The crowd was ethnic and quite energetic. From the start, the movie made you laugh. As soon as the audience heard those strange British accents come from those Chinese actors the movie turned into a violent and gory cartoon. Most American audiences saw this kind of gore in a horror film not in an action film. The action sequences blew the audience away. Unfortunately, the movie studios saw that they enjoyed it so much that, bad dubbing and unnecessary violence became a kung fu flick formula.<br /><br />I had fun seeing this movie with an American audience but enjoyed it much more in Chinatown. Some films can pass the test of time but the dubbed version of FFoD can't. The original ""King Boxer"" is still enjoyable...a CLASSIC! 
+	-	First of all, let me say this film isn't for everyone. It has a very strange subject matter. A spinster living alone and living a boring life discovers a young man in a park just across the street from her townhouse. She notices him sitting out in the rain and invites him in to dry off & warm up. The man does not speak and the woman assumes he is deaf mute. Still, she is fascinated with him and sexually interested in him. He finds her odd and continues his silence although we find out later that he isn't mute at all and that he reports to his sister everything that is going on between him & the woman. I won't give away the rest of the plot. If you can find this film watch it. You cannot take your eyes off of it. What makes it so interesting? Well, it is totally unique. I've never seen anything like it and watching these two together is very uncomfortable. Especially when you find out what this bland, boring, obsessive spinster is capable of. You won't forget it soon. 
+	-	The Journey of Hope (1990) is about a trek that many nomadic and poor Turks make so they could live the good life in Switzerland. These people are so desperate to live like Westerners that they'll give up their life and lives in an attempt to reach the promised land. So many of them are swindled by greedy crooks who make their living off of charging huge fees for desperate people who are in a no win situation. One family braves the cold, the treacherous mountain range and predatory criminals only to discover that there's not always a shining white light at the end of the tunnel. This problem exists world wide, not just in America. Some people tend to forget that. A heart breaker of a film that'll leave you wondering why at the end.<br /><br />Highly recommended. 
+	-	Following the advice of a friend, I got myself this movie. I'm very fond of computers in general - hence why a 1995 film about identity theft on the Internet could not be left unseen. I had some bad echoes about it, but in the end, I wasn't so disappointed : the story, though classical, is kind of interesting and must have been really new back in the days when it was released in theatres. I was gladly surprised when I figured out that contrary to what we usually see, computer-performed actions are somehow realistic, as they use Windows 3.x and normal computers. The storytelling is median and not bothering the viewer. The end is typically American. The actors' performance is globally OK, Sandra Bullock usually annoys me with her ""oh my god why me"" way to behave, but this time she seems to have controlled herself. I'd recommend that movie. 
+	-	I had the privilege of watching ""Holly"" at the Edinburgh Film Festival last week. What a powerful and moving story! Holly is a 12 yr old Vietnamese girl who is sold into prostitution by her own family and living in a brothel in Cambodia. Patrick (an American) comes into Holly's life and decides he wants to help her. When Holly is sold again, Patrick desperately searches for her. We follow they're difficult journey through Cambodia and hope for their reunion.<br /><br />Holly is one of millions of children who are sold and trafficked every day. The movie portrays this difficult issue without crossing the line. I walked away wanting to know more about the issue of child trafficking and asking how can I help? This movie should be seen by everyone because it is a beautiful story and it exposes an issue that we should no longer ignore. 
+	-	Before I talk about the ending of this film I will talk about the plot. Some dude named Gerald breaks his engagement to Kitty and runs off to Craven Castle in Scotland. After several months Kitty and her aunt venture off to Scottland. Arriving at Craven Castle Kitty finds that Gerald has aged and he has grown meaner. Gerald has certain rules for the castle(the rules have been the same for 200 years). Gerald does not want them to stay but, Kitty insist on staying by making excuses. One night her aunt catches a glimpse of the monster running across the hall. It scares her so much that she faints and (another excuse) they must stay longer. Kitty becomes more worried about Gerald after she tries to go in the maze but Gerald catches her and is even meaner to her. Kitty then sends for reinforcements, she calls their doctor who is actually their friend and his wide. Then to make things not look suspicious they invite a couple other friends(who don't really do anything). Blah,blah, blah Kitty and her aunt end up in the maze where the most suspense of the story is. They somehow get separated and they try to find each other. But the aunt stumbles upon the creature...here it is the moment we've all been waiting for, what is the creature lurking in the shadows?...it is a giant FROG!!! OMG what is better than that! After seeing the aunt the frog literally goes crazy and runs, oops I mean hops up the stairs to the top of the castle. The frog then leaps out an open window. We then go on a shot from the ground and see the frog gall towards us (oh yeah this movie was in 3-D). But you want to know what is funny is the frog that falls out the window is actually a toy because it is 1/10 the size of the frog before it takes the leap. It is then revealed that this was all evolutions fault, blah, blah and Kitty and Gerald get married. Then the last shot of this masterpiece is of the grave of the frog in the maze, the only place where he was ever really happy ;). 
+	-	Spanish films are into a, if not Golden, definitely a Silver Age. Piédras is another example of a movie that takes people and their conflicts seriously. Although the feelings are strong or nearly at life or death-level, they still aren't really melodramatic. This could happen.<br /><br />There are different stories here, which become connected. One is about the retarded girl, who doesn't dare to pass the street to the next block. One is about the middle-aged woman who finds the lover of her life in a foot fetischist. Another is about the girl with drug problems who's lover leaves her. Still another one is about the madame of a brothel who (almost) finds true love.<br /><br />Definitely worth seeing. It's in Spain the moviemakers take women seriously. 
+	-	Let me first state that while I have viewed every episode of StarTrek at least twice, I do not consider myself a Trekker or Trekkie. Those are people who live in their parents basement and attend conventions wearing costumes with pointed rubber ears. I gave this movie a seven casting aside the fiction historical errors. The acting was better than average, but the plot held no surprises. They tried very hard to reverse engineer the technology but still the special effects were just to great a temptation. Now as to the historical errors, if you call them that, the first Capitan to pilot the Enterprise was Commander April, then Capt. Pike, Jim Kirk, etc.. According to a statement made by both Riker and Kirk we dicovered the Klingons and educated them and gave them the technology (that's the reason a prime directive was created) but like I said these are no reason to discredit this fine series. I hope the plots will get deeper, and then special effects can take a backseat. 
+	-	8 points for take on probably what really kinda maybe more what it was like back then. American Indians probably stole more than killed. Who really knows? Nice slower odd pursuit means it has a pace and... interesting and unique. Thankfully not another mindless shoot em up. I thought this would suck at first, I wound up getting wrapped up... nice treasure... good job! I have hopes nobody dissects this film. When the entire movie unfolds you have many unique twists, impossible to determine what will be next. The characters are human and have either honor or not... passion or not... forgiveness or not. Wound up loving the White Horse, the Indian, Sheen even the damned desert. All good. 
+	-	In a world in which debatable and misunderstood subjects can be listed endlessly, this powerful 1995 film takes on one at the top of that list; moreover, it does it objectively and realistically, and with a sensibility and sensitivity that makes it a truly great film by anyone's measuring stick. And to add some irony to it all, even the subject matter of this film has been widely misunderstood, as it is wrongly perceived that this is a film about the pros and cons of the death penalty; it is not. At the heart of `Dead Man Walking,' directed by Tim Robbins, is a subject that in reality is possibly the most misunderstood of all, and with good reason, because it just may be the hardest thing there is for a human being to really-- and truly-- understand. And it is what this film is actually all about: Forgiveness. Real forgiveness; not excusing a heinous crime or the perpetrator thereof-- not saying that what's happened is okay-- but finding the strength to go on, and to do so by choosing life.<br /><br /> 
+	-	I haven't seen so many people packed outside a theater since Star Wars Episode III. Both shows sold out, and for good reason. The Man With the Screaming Brain was the best movie to see with a crowd full of geeks. (Hey, I'm a dork too.) <br /><br />Bruce Campbell was present and had the whole crowd in stitches! The movie was cheesy in the best possible way. It may be the funniest movie that Bruce has done. Ted Raimi steals the show with his Bulgarian hip hop-itude and zany facial expressions, he is a laugh riot! Who knew that Ted could rap? <br /><br />I changed my mind, the person who stole the show was actually a robot. There is nothing funnier than a robot...doing the robot.<br /><br />As for Bruce's performance: ""I take the 5th."" Thanks Bruce. Thanks for being cool, thanks for taking the time, thanks for all of the fun. 
+	-	This is an excellent modern-day film noir....""excellent"" in that it's interesting, start-to-finish. There are some holes in here and some goofy parts that make you shake your head in disbelief.....but I haven't found anyone who didn't get caught up in this story. The movie has the right amount of action, suspense, plot twists and interesting characters. In addition, it sports some nice colors and cinematography plus a good guitar-based soundtrack. <br /><br />I labeled this crime movie a ""film noir"" because it's gritty and the all the characters are no good. Even the only supposed-good guy, played by Nicholas Cage, gets himself in trouble by lying and has a quick affair he should't have. He also does something at the end which isn't right, but I'm not going the spoil it by saying. Suffice to say, however, that the rest of the characters are so bad they make Cage look good!<br /><br />Speaking of ""bad guys,"" does anyone do it better than Dennis Hopper? Not many. At least in the ""deranged"" category, he's tough to beat. Lara Flynn Boyle is fun to watch for a bunch of reasons. J.T. Walsh gives another great supporting performance, too.<br /><br />This is one of those films that never got much publicity, but it should have. You'll have fun watching this. By the way, try saying the name of this movie out loud three times fast without messing it up! 
+	-	Coonskin might be my favorite Ralph Bakshi film. Like the best of his work, it's in-your-face and not ashamed of it for a second, but unlike some of his other work (even when he's at his finest, which was before and after Coonskin with Heavy Traffic and Wizards), it's not much uneven, despite appearances to the contrary. Bakshi's taking on stereotypes and perceptions of race, of course, but moreover he's making what appears to be a freewheeling exploitation film; blaxploitation almost, though Bakshi doesn't stop just there. If it were just a blaxploitation flick with inventive animation it could be enough for a substantial feature. But Bakshi's aims are higher: throwing up these grotesque and exaggerated images of not just black people but Italians/mafioso, homosexuals, Jews, overall New York-types in the urban quarters of Manhattan in the 70s, he isn't out to make anything realistic. The most normal looking creation in looking drawn ""real"" is, in fact, a naked woman painted red, white and blue.<br /><br />In mocking these stereotypes and conventions and horrible forms of racism (i.e. the ""tar-rabbit, baby"" joke, yes joke, plus black-face), we're looking at abstraction to a grand degree. And best of all, Bakshi doesn't take himself too seriously, unlike Spike Lee with a film like Bamboozled, in delivering his message. This is why, for the most part, Coonskin is a hilarious piece of work, where some of the images and things done and sudden twists and, of course, scenes of awkward behavior (I loved the scene where the three animated characters are being talked at by the real-life white couple in tux and dress as looking ""colorful"" and the like), are just too much not to laugh at. It's not just the imagery, which is in and of itself incredibly ""over""-stylized, but that the screenplay is sharp and, this is key for Bakshi this time considering, it's got a fairly cohesive narrative to string along the improvisations and madness.<br /><br />Using at first live-action, then animation, and then an extremely clever matching of the two (ironically, what Bakshi later went for in commercial form with Cool World is done here to a T with less money and a rougher edge), Pappy and Randy are waiting outside a prison wall for a buddy to escape, and Pappy tells of the story of Brother Rabbit, who with Brother Bear and Preacher Fox go to Harlem and become big-time hoodlums, with Rabbit in direct opposition to a Jabba-the-Hut-esquire Godfather character. This is obviously a take off on Song of the South with its intentionally happy-go-lucky plot and animation, here taken apart and shown for how rotten and offensive it really is.<br /><br />Yet Bakshi goes for broke in combining forms; animated characters stand behind and move along with live-action backgrounds; when violence and gunshots and fights occurs it's as bloody as it can get for 1975; when a dirty cop is at a bar and is drugged and put in black-face and a dress, he trips in a manner of which not even Disney could reach with Dumbo; a boxing match with Brother Bear and an opponent as the climax is filmed in wild slow-motion; archive footage comes on from time to time of old movies, some and some from the 20s that are just tasteless.<br /><br />Like Mel Brooks or Kubrick or, more recently, South Park, Bakshi's Coonskin functions as entertainment first and then thought-provocation second. It's also audacious film-making on an independent scale; everything from the long takes to the montage and the endlessly warped designs for the characters (however all based on the theme of the piece) all serve the thought in the script, where its B-movie plot opens up much more for interpretation. To call it racist misses the point; it's like calling Dr. Strangelove pro-atomic desolation or Confederate States of America pro slavery. And, for me, it's one of the best satires ever made. 
+	-	This Documentary (Now available free on Video.Google.Com) is a fantastic demonstration of the power of ordinary people to overcome injustice. Everyone must see this.<br /><br />Chavez was elected in a landslide vote in 1998. His platform was to divert the fantastic oil wealth from the 20% middle class to the 80% poor. He banned foreign drift net fishing in Venezuelan waters. He sent 10,000 Cuban doctors to the slums to treat the sick for free. He wiped out illiteracy and set up new free Universities. <br /><br />But it was his 30% tax on oil company profits that got him in trouble with the Bush administration. In 2002, while Irish film makers Kim Bartley and Donnacha O'Briain were interviewing Chavez inside the Presidential Palace about his social programs, a CIA backed coup was launched. With the cameras rolling, Chavez was captured and flown out of the country. It was announced on national TV that he had 'resigned'.<br /><br />But the poor of Venezuela didn't believe the media. They went to the Palace in their millions and demanded that Chavez be returned. In the face of such overwhelming numbers, the military turned on the coup leaders and the plotters fled to the US. Chavez was rescued by military helicopter and returned to jubilation. 
+	-	Ahhh...the '80's. 1982 makes me think back to the really crazy time we were facing in America. Fresh off the ""Do What Feels Good"" '70's, ""The Last American Virgin"" comes as a wolf in sheep's clothing as yet another 'teenage sex comedy' from the glory days. Oh sure, there's sex, but, I can't think of another movie--OK, this and ""Fast Times at Ridgemont High""--that really wasn't killing time between topless teenage scenes--there was some pretty good stuff here amongst the cleavage.<br /><br />The movie follows three hormonal friends. Gary (wanting to lose his virginity), Rick (stud incarnate), and David (overweight, but, not inexperienced) as they try desperately hard to make sure Gary joins the world of manhood. But, a funny thing happens on the way to the kegger--Gary falls for Karen (pretty brunette who loves the bad boys), and can't seem to follow through with any sexual conquest that David and Rick can facilitate. Only trouble is, Rick and Karen get hot and heavy and Karen skips a period. It's Gary who is by her side as she goes to get her abortion, and it's Gary who truly cares. But, who is Karen dancing with by film end...Rick. Subtract the ""R"" and add a ""D"" where necessary.<br /><br />What separates this film from others from the '80's we think about is that, by god, they attempt some real drama here, and not of the ""my parents just pulled in the driveway variety."" And, you know what? I bought it.<br /><br />It wasn't sloppy. It wasn't far-fetched. And, when Gary sees Rick dancing with Karen at the house party at the end of the film, I actually felt sorry for the guy. Our teenage Romeo actually believed in unrequited love--and when his heart was broken at the end, it all sort of touched me.<br /><br />So, all the T&A aside, there's an actually pretty believable and engaging story here. Oscar worthy? Not by a mile, but, I don't know that I'd lump it into the ""let's get laid"" category, either. Like ""Fast Times at Ridgemont High,"" they actually were trying to do a true film here, letting the hi-jinx in between fall where it may. 
+	-	I saw this film when I was a young child on television (thank-you Canadian Broadcasting Corporation) and had nightmares about it for years afterwards.<br /><br />Trnka was one of the mentors for Bratislav Pojar, one of Canada's National Film Board's best animators. Pojar was, in turn a mentor and collaborator for the great Drouin. If you like Trnka you should see ""Night Angel"".<br /><br />The symbolism is obvious, but deftly used. The oppositions of beauty and life (the plant) are placed in opposition with the anonymity of the gloved hand. The poor puppet hero is condemned despite a lack of political agenda.<br /><br />What I most remembered was the feeling of oppression in the decor. The small room where the action takes place is the character's entire world. The invasion by the hand is a complete violation of that world.<br /><br />Beautiful and haunting film. I found a copy of this and other wonderful shorts by Trnka at the public library and showed it to my own kids. A must see. 
+	-	Watch The Beguiled because it's a good place to begin when you study the femmes fatales in Clint Eastwood's filmography.<br /><br />The smothering Gothic sexuality of The Beguiled has already been discussed. What everyone missed is the synchronized sexual physiology that occurs in a group of females living together, especially when a man is introduced into the group. They all become horny and then bitchy at the same time.<br /><br />Femme fatal filmography for Clint Eastwood: Inger Stevens, Hang 'Em High, 1968; Jean Seberg, Paint Your Wagon, 1969; Shirley MacLaine, Two Mules for Sister Sara, 1970; Geralding Page, The Beguiled, 1971; Jessica Walters, Play Misty for Me, 1971; Sondra Locke, Sudden Impact, 1983; Genevieve Bujold, Tightrope, 1984; Marsha Mason, Heartbreak Ridge, 1986; Burnadette Peters, Pink Cadillac, 1989; and the best heart-breaker of all, Meryl Streep, The Bridges of Madison County, 1995. 
+	-	When i heard about this movie it was supposed to be the funniest thing i've ever seen, Yes it was funny. I mean i liked it all until the end where...........Oh no i can't tell u should it for yourself. It is funny except. The vulgar language. That's why i say if u like movies that r funny in sexual ways watch it , but if not don't waist ur money on renting it or buying it. 
